cloud_clear,cloud_cloudy,cloud_overcast,cloud_partly cloudy,location_coastal,location_inland,location_mountain,season_Autumn,season_Spring,season_Summer,season_Winter,Temperature,Humidity,Wind Speed,Precipitation (%),Atmospheric Pressure,UV Index,Visibility (km),Weather Type
1,0,0,0,0,0,1,0,0,0,1,20,24,3,6,1013.68,9,6.5,3
0,0,1,0,0,1,0,0,0,0,1,-7,61,2.5,99,994.34,1,2.5,2
0,0,1,0,0,1,0,0,0,0,1,-3,82,0,65,991.66,0,1.5,2
0,0,0,1,1,0,0,1,0,0,0,22,65,6,14,1010.17,8,7,3
0,0,1,0,1,0,0,0,1,0,0,33,79,4.5,43,1007.94,1,7,0
1,0,0,0,0,1,0,0,0,1,0,29,47,8.5,2,1027.33,11,5.5,3
0,0,1,0,0,0,1,1,0,0,0,13,80,15.5,59,1012.06,0,3.5,1
1,0,0,0,0,0,1,1,0,0,0,27,39,5,16,1021.61,5,5,3
0,0,1,0,0,1,0,0,0,1,0,38,75,0.5,79,1057.69,0,10,1
1,0,0,0,0,0,1,1,0,0,0,20,48,9.5,6,1015.16,6,8.5,3
0,0,0,1,1,0,0,0,0,1,0,19,82,7,85,1008.5,1,3.5,1
0,0,1,0,0,0,1,0,1,0,0,18,70,5,94,1012.87,2,3.5,1
0,0,1,0,0,0,1,0,0,1,0,18,60,12.5,42,822.66,2,17.5,1
0,0,1,0,0,1,0,0,0,0,1,2,80,13.5,79,995.74,1,1.5,2
0,0,1,0,0,0,1,0,0,0,1,1,81,9.5,63,983.99,1,3.5,2
0,0,0,1,0,0,1,1,0,0,0,22,69,1,19,1011.5,2,6,0
0,0,1,0,0,0,1,0,0,0,1,-10,70,2.5,56,989.29,1,4,2
0,0,1,0,0,1,0,0,0,1,0,32,61,5.5,53,995.09,2,4,1
1,0,0,0,0,1,0,0,1,0,0,41,29,8,17,1011.53,11,10,3
0,0,1,0,0,0,1,0,0,0,1,-1,99,2.5,72,998.51,0,2,2
0,0,1,0,0,1,0,0,0,1,0,31,65,1.5,18,1008.47,2,9,0
0,0,0,1,1,0,0,1,0,0,0,19,62,1,14,1016.5,2,5.5,0
0,0,0,1,0,0,1,0,0,0,1,-3,92,28,99,987.7,1,4.5,2
0,0,1,0,0,1,0,0,0,0,1,-1,83,18,73,983.46,0,1.5,2
0,0,1,0,0,0,1,0,0,0,1,3,70,2,81,984.9,1,2,2
0,0,1,0,0,1,0,0,0,0,1,0,64,4.5,52,984.59,1,1,2
0,0,1,0,0,1,0,0,1,0,0,26,76,9,68,1004.27,3,3.5,1
0,0,1,0,1,0,0,0,0,0,1,22,92,19.5,81,1017.76,0,4.5,1
0,0,1,0,0,0,1,0,0,1,0,20,96,14,94,997.77,0,4.5,1
0,0,0,1,0,0,1,0,1,0,0,23,52,1,36,1017.92,1,8.5,0
0,0,1,0,0,0,1,0,0,0,1,3,81,2.5,89,992.78,1,2,2
0,0,1,0,0,0,1,0,0,1,0,20,95,16,91,1016.14,0,2.5,1
0,0,1,0,0,0,1,0,0,0,1,-2,91,2.5,83,982.21,1,4,2
0,1,0,0,0,1,0,1,0,0,0,29,77,0.5,91,934.49,14,17,3
0,0,0,1,0,0,1,0,0,0,1,2,77,6.5,75,998,0,3,2
0,0,0,1,1,0,0,0,0,1,0,16,67,6.5,45,1008.69,2,5.5,0
1,0,0,0,0,0,1,0,1,0,0,46,94,4,90,1022.88,10,12.5,3
0,0,1,0,0,1,0,0,0,0,1,-2,92,1,71,998.01,1,1.5,2
0,0,0,1,0,1,0,1,0,0,0,20,50,6.5,21,1013.93,4,6,0
0,0,1,0,0,0,1,0,0,0,1,0,64,10.5,78,994.62,0,3,2
1,0,0,0,0,1,0,0,1,0,0,22,48,6,15,1020,5,9.5,3
0,0,1,0,0,1,0,1,0,0,0,29,50,5.5,13,1002.04,4,8,0
0,0,1,0,0,0,1,0,0,0,1,4,77,13,76,983.25,1,2.5,2
1,0,0,0,1,0,0,1,0,0,0,40,39,9.5,15,1029.84,8,8,3
0,0,1,0,0,1,0,0,0,0,1,-3,60,8,94,981.56,1,3,2
0,0,0,1,1,0,0,0,1,0,0,33,25,4,3,1027.6,11,6.5,3
0,0,0,1,0,0,1,0,1,0,0,31,87,11,54,995.87,0,3.5,1
0,1,0,0,0,1,0,0,1,0,0,41,72,2.5,26,973.08,6,8.5,1
0,0,0,1,0,0,1,0,0,0,1,33,77,1,22,1018.78,4,8.5,0
0,0,1,0,0,0,1,0,0,0,1,-5,68,0.5,96,992.19,1,1.5,2
0,0,1,0,0,0,1,0,0,0,1,-9,90,1.5,97,999.08,1,4.5,2
0,0,0,1,0,1,0,0,0,0,1,1,89,7.5,76,982.22,1,4.5,2
0,0,1,0,0,1,0,1,0,0,0,13,62,14,13,1003.74,1,9,0
0,0,1,0,0,1,0,1,0,0,0,13,75,9.5,40,1005.39,2,8,0
0,0,1,0,0,1,0,0,0,1,0,15,105,7.5,75,1006.45,10,4,0
0,0,1,0,0,1,0,0,0,0,1,31,86,13.5,78,999.25,3,4,1
0,0,0,1,0,1,0,0,0,1,0,26,60,11.5,50,995.67,3,3.5,1
0,0,0,1,1,0,0,0,0,1,0,44,25,1,6,1016.02,10,5.5,3
0,0,0,1,1,0,0,0,0,1,0,28,93,12.5,50,997.24,0,5,1
0,0,1,0,0,1,0,0,0,0,1,18,88,15.5,88,997.61,1,3.5,1
0,0,0,1,0,1,0,0,1,0,0,30,77,12,51,1007.88,0,3.5,1
0,0,1,0,0,0,1,0,0,1,0,24,50,3.5,10,1017.18,4,6.5,0
1,0,0,0,1,0,0,0,1,0,0,36,32,6,2,1026.15,7,7.5,3
0,0,1,0,0,0,1,0,0,0,1,3,75,10.5,73,980.47,1,3,2
1,0,0,0,1,0,0,1,0,0,0,35,49,9,14,1010.52,10,7,3
0,0,0,1,0,0,1,0,0,1,0,26,43,7,18,1024.37,5,6,3
0,0,0,1,0,0,1,0,0,1,0,16,59,11.5,37,1004.12,4,6.5,0
0,0,1,0,0,0,1,1,0,0,0,38,73,2.5,79,1034.1,3,13,1
0,0,1,0,1,0,0,0,1,0,0,34,51,9,40,1009.21,4,6,0
0,0,1,0,0,0,1,1,0,0,0,33,88,19,98,998.8,2,3,1
0,0,1,0,0,0,1,0,0,1,0,17,72,20,56,990.4,0,4,1
0,0,1,0,0,1,0,0,0,0,1,30,58,1,43,1018.95,2,6,0
0,0,1,0,1,0,0,0,1,0,0,17,69,2,35,1009.83,1,8.5,0
0,0,1,0,0,0,1,0,0,0,1,-5,94,9,63,989.82,0,5,2
0,0,1,0,1,0,0,0,1,0,0,17,64,19.5,95,1016.54,2,5,1
0,0,0,1,1,0,0,0,0,0,1,-13,60,9.5,18,931.79,7,5.5,0
0,0,1,0,0,1,0,0,1,0,0,34,88,19.5,73,1018.01,1,4,1
0,0,1,0,1,0,0,0,0,0,1,41,90,21.5,103,1002.15,13,4,1
0,1,0,0,0,1,0,1,0,0,0,13,77,5,68,1021.09,3,8.5,0
1,0,0,0,0,1,0,0,1,0,0,23,35,3.5,12,1028.43,7,8,3
0,0,1,0,0,1,0,0,1,0,0,16,96,19,57,1003.05,0,4.5,1
0,0,1,0,0,0,1,0,0,0,1,-7,70,8.5,62,993.19,1,2,2
0,0,1,0,0,0,1,0,0,0,1,3,90,9.5,87,997.83,0,2.5,2
1,0,0,0,0,1,0,1,0,0,0,39,54,0,3,1024.65,8,9.5,3
0,0,0,1,1,0,0,0,0,0,1,21,64,19,96,1006.43,0,4.5,1
1,0,0,0,1,0,0,0,1,0,0,38,69,6.5,19,1011.2,5,8,3
0,0,1,0,0,1,0,0,0,0,1,-6,81,19.5,66,995.18,0,1.5,2
0,0,1,0,1,0,0,0,1,0,0,10,80,16.5,99,1005.34,3,3.5,1
0,0,0,1,0,0,1,1,0,0,0,23,73,14.5,32,1002.91,4,7.5,0
0,1,0,0,0,0,1,1,0,0,0,38,21,0,14,960.81,2,6,2
0,0,1,0,1,0,0,0,0,0,1,15,97,12.5,62,1013.38,2,3,1
1,0,0,0,0,1,0,0,1,0,0,20,55,2,7,1029.67,9,9,3
0,0,0,1,1,0,0,1,0,0,0,26,82,18,54,998.36,1,3,1
0,0,0,1,1,0,0,0,0,0,1,23,60,19.5,62,1014.54,2,4.5,1
0,0,0,1,0,0,1,0,0,1,0,26,68,4,39,1016.39,4,5.5,0
0,0,1,0,0,0,1,1,0,0,0,10,99,16,58,995.85,2,1.5,1
0,0,0,1,0,0,1,1,0,0,0,20,42,4,13,1028.3,5,8,3
0,0,1,0,1,0,0,0,0,0,1,-2,32,1.5,17,930.32,1,11,1
0,0,1,0,0,1,0,0,0,0,1,-1,94,13,74,981.13,0,4,2
0,0,0,1,0,0,1,0,0,1,0,28,65,13.5,48,1013.19,4,5.5,0
0,0,0,1,0,0,1,0,0,0,1,-10,94,7.5,98,989.37,1,4,2
1,0,0,0,1,0,0,0,1,0,0,41,57,4,19,1025.59,10,6.5,3
0,0,1,0,0,0,1,0,0,1,0,34,78,14.5,13,1014.07,1,6,0
0,0,0,1,1,0,0,0,1,0,0,33,30,9.5,7,1019.11,11,5,3
0,0,0,1,1,0,0,0,0,0,1,28,56,8.5,12,1013.53,1,7.5,0
0,1,0,0,1,0,0,0,0,0,1,49,64,4,61,1130.72,14,0,0
0,0,0,1,1,0,0,1,0,0,0,28,77,4.5,68,1175.6,14,0,2
0,0,0,1,0,1,0,1,0,0,0,34,99,34,74,1016.03,9,1,1
0,0,1,0,0,0,1,0,0,0,1,-7,97,4.5,73,987.68,0,2,2
0,0,1,0,0,1,0,1,0,0,0,78,81,8,78,1010.19,1,4.5,0
0,0,1,0,0,1,0,0,0,0,1,25,24,9.5,91,834.02,13,3.5,2
1,0,0,0,1,0,0,0,0,1,0,31,100,15,90,1019.98,8,5,3
0,0,1,0,0,0,1,0,1,0,0,19,97,9,56,1015.74,3,2,1
0,0,1,0,1,0,0,0,0,1,0,34,97,17.5,76,1016.2,1,2.5,1
0,0,1,0,1,0,0,0,0,1,0,10,80,17,69,1012.7,3,1.5,1
0,0,0,1,0,1,0,0,0,1,0,28,76,0.5,16,1018.62,4,7.5,0
0,0,1,0,0,0,1,1,0,0,0,18,74,0.5,39,1007.53,1,8.5,0
0,0,0,1,0,1,0,0,0,1,0,32,63,3,46,1006.96,1,8.5,0
0,0,1,0,0,0,1,0,0,0,1,-7,82,7.5,57,985.06,0,2.5,2
0,0,0,1,0,1,0,0,1,0,0,22,61,8.5,13,1009.6,2,6.5,0
1,0,0,0,1,0,0,0,0,1,0,63,86,13,75,1027.31,14,2.5,3
0,0,1,0,0,1,0,1,0,0,0,23,78,15,60,991.36,2,4,1
0,0,1,0,1,0,0,0,0,1,0,27,83,16,53,1003.68,1,2.5,1
0,0,1,0,0,0,1,0,0,0,1,-9,67,13,92,981.36,0,2,2
0,0,1,0,0,0,1,0,0,0,1,-10,92,17,96,982.06,1,4.5,2
0,0,1,0,1,0,0,0,1,0,0,10,68,8,99,1014.01,3,1.5,1
0,0,0,1,1,0,0,0,0,0,1,35,33,7,5,1025.51,5,7.5,3
0,0,1,0,0,0,1,0,0,0,1,73,82,47,107,1002.73,0,0.5,1
0,0,0,1,1,0,0,0,0,0,1,22,89,12,85,1017.54,11,2,0
0,0,0,1,0,0,1,0,0,0,1,2,86,11.5,64,999.36,1,2.5,2
0,0,0,1,0,0,1,0,1,0,0,30,71,12,92,992.51,2,3,1
0,0,0,1,0,0,1,1,0,0,0,30,55,5,31,1004.15,2,6.5,0
0,0,1,0,1,0,0,0,0,0,1,14,68,11.5,11,1012.85,2,6.5,0
0,0,1,0,0,1,0,1,0,0,0,19,91,18.5,97,1011.14,0,4,1
0,0,1,0,1,0,0,0,0,1,0,34,71,4,35,1001.54,3,6.5,0
0,0,0,1,0,1,0,0,0,1,0,27,79,14,29,1008.79,1,7.5,0
0,0,0,1,0,1,0,0,0,0,1,8,78,34.5,106,982.66,11,3.5,2
0,0,1,0,0,0,1,0,0,0,1,-3,76,10,85,986.77,0,3.5,2
0,0,0,1,1,0,0,0,1,0,0,29,107,0.5,93,1002.18,8,10,0
0,0,0,1,1,0,0,0,0,1,0,27,54,7,11,1015.78,2,6,0
0,0,1,0,1,0,0,0,0,0,1,22,95,35.5,87,998.45,11,4,1
0,0,0,1,0,1,0,0,1,0,0,24,27,2,12,1015.66,7,6,3
1,0,0,0,0,1,0,1,0,0,0,33,69,8,5,1026.28,9,9.5,3
0,0,0,1,0,1,0,1,0,0,0,28,47,11.5,24,1105.69,9,1.5,3
0,0,0,1,0,1,0,0,1,0,0,32,59,0.5,18,1016.89,2,7,0
0,0,1,0,0,0,1,0,0,0,1,-10,72,2.5,96,988.45,0,2,2
0,0,0,1,0,1,0,0,0,1,0,28,108,7.5,83,1018.84,1,4,3
0,0,0,1,0,1,0,0,0,0,1,27,26,9,14,1018.24,5,7,3
0,0,1,0,0,1,0,0,0,0,1,-9,71,9.5,83,996.4,1,3.5,2
0,0,1,0,1,0,0,1,0,0,0,28,86,9.5,52,1005.41,3,3,1
0,0,1,0,0,1,0,0,0,0,1,-4,64,1,85,993.69,1,1.5,2
1,0,0,0,1,0,0,1,0,0,0,25,51,5,18,1019.65,7,7,3
0,0,1,0,0,0,1,0,1,0,0,12,92,20,51,1010.65,3,2,1
0,0,0,1,1,0,0,0,1,0,0,-12,22,6.5,71,1097.74,1,9,2
0,0,0,1,1,0,0,1,0,0,0,14,65,6.5,26,1019.03,1,6.5,0
0,0,1,0,0,0,1,0,0,0,1,2,71,11,66,984.83,0,3,2
1,0,0,0,0,1,0,0,0,1,0,43,24,7,1,1020.87,9,7,3
0,0,1,0,0,0,1,0,0,0,1,-10,84,5,75,990.82,0,4.5,2
0,0,1,0,1,0,0,0,1,0,0,1,52,13.5,18,829.86,14,6.5,0
0,0,1,0,1,0,0,1,0,0,0,25,86,11,75,1006.57,0,4,1
0,0,0,1,0,0,1,0,0,1,0,30,96,4.5,97,1001.66,1,5.5,0
1,0,0,0,1,0,0,0,1,0,0,44,94,9,109,1024.46,2,6.5,3
0,0,1,0,0,1,0,1,0,0,0,12,89,17.5,75,997.65,2,2,1
1,0,0,0,0,1,0,1,0,0,0,20,48,3,10,1019.81,10,9.5,3
0,0,1,0,0,0,1,0,0,1,0,32,71,19,92,1003.24,3,2.5,1
0,0,1,0,1,0,0,0,1,0,0,13,79,11,63,990.71,2,4.5,1
0,0,1,0,0,0,1,0,0,0,1,-24,84,23.5,80,984.68,0,1.5,2
1,0,0,0,0,0,1,0,0,1,0,22,46,5,1,1014.95,11,7,3
0,0,0,1,0,1,0,0,0,1,0,25,57,3.5,0,1016.85,10,8.5,3
0,0,1,0,0,0,1,0,0,0,1,-4,69,14.5,56,994.53,1,3,2
0,0,1,0,0,0,1,0,0,1,0,-10,72,4.5,72,1193.57,11,13,1
0,0,0,1,0,1,0,0,0,0,1,0,73,4,90,993.09,1,3,2
0,0,0,1,1,0,0,0,1,0,0,41,33,3.5,5,1021.88,6,8,3
1,0,0,0,1,0,0,1,0,0,0,35,50,7,3,1011.22,7,7.5,3
0,0,0,1,0,0,1,0,0,1,0,14,95,42.5,106,997.34,6,4,1
1,0,0,0,1,0,0,0,0,0,1,23,63,5,2,1028.61,9,9,3
1,0,0,0,0,1,0,0,1,0,0,34,31,9.5,9,1024.74,10,5.5,3
0,0,0,1,0,1,0,0,0,0,1,28,97,12,99,1014.95,2,2.5,1
0,0,1,0,1,0,0,0,0,1,0,33,63,8.5,93,990.33,2,3,1
0,1,0,0,0,0,1,0,0,1,0,-2,52,13.5,88,841.43,2,1.5,3
0,0,0,1,0,0,1,0,1,0,0,12,88,9.5,76,990.58,1,5,1
0,0,0,1,1,0,0,0,0,1,0,11,66,13.5,39,1005.33,2,7.5,0
0,0,1,0,0,0,1,0,1,0,0,19,72,11,25,1009.68,4,7.5,0
0,0,1,0,0,1,0,0,0,1,0,18,87,18,58,1001.57,1,1.5,1
0,0,0,1,1,0,0,1,0,0,0,15,98,6,84,1014.45,2,3.5,1
0,0,0,1,0,1,0,0,1,0,0,13,76,0,12,1006.38,3,5.5,0
1,0,0,0,1,0,0,0,0,1,0,34,24,4,13,1020.55,11,8,3
0,0,1,0,0,0,1,0,0,0,1,-7,89,1,63,993.79,1,4,2
0,0,1,0,0,1,0,0,0,0,1,-8,98,14.5,94,989.03,0,4,2
0,0,1,0,0,0,1,0,0,0,1,1,70,16.5,59,990.8,1,1.5,2
0,0,1,0,1,0,0,0,0,0,1,21,72,19,57,990.71,2,2,1
0,0,1,0,0,0,1,0,0,0,1,2,105,10.5,109,990.79,0,3,2
1,0,0,0,1,0,0,0,0,1,0,21,46,7.5,18,1012.01,7,6,3
0,0,1,0,0,0,1,0,0,0,1,-2,72,9.5,98,991.7,1,1.5,2
0,0,1,0,0,0,1,0,1,0,0,31,95,19,51,1013.15,3,2.5,1
0,0,0,1,0,1,0,0,0,1,0,24,77,13.5,89,1019.08,2,4,1
0,0,0,1,0,1,0,0,0,0,1,26,68,15,53,1014.58,3,2.5,1
0,0,1,0,0,1,0,1,0,0,0,60,86,12,86,1003.36,9,2,0
0,0,1,0,0,1,0,0,0,0,1,22,72,11,23,1015.73,2,5.5,0
0,0,0,1,0,0,1,1,0,0,0,48,79,12,88,1140.24,4,17,2
1,0,0,0,0,0,1,0,0,1,0,32,58,6.5,4,1023.83,6,9,3
0,0,0,1,0,0,1,0,0,0,1,-10,63,17.5,70,993.68,0,3.5,2
0,0,0,1,0,1,0,0,0,1,0,26,67,10,27,1002.53,4,6.5,0
1,0,0,0,0,0,1,0,0,0,1,35,58,3,19,1015.4,5,5,3
0,0,0,1,1,0,0,0,0,1,0,11,76,6,71,974.29,7,9,1
0,0,0,1,1,0,0,0,1,0,0,26,27,5.5,14,1027.6,7,7.5,3
0,0,0,1,1,0,0,0,0,1,0,43,50,8,16,1017.68,5,5.5,3
0,0,1,0,1,0,0,0,0,0,1,33,58,8,41,1017,2,8,0
0,0,1,0,0,0,1,0,0,0,1,5,71,9.5,93,985.82,6,6,2
0,0,1,0,0,0,1,0,0,0,1,23,62,10,20,1003.85,3,9,0
0,0,1,0,0,1,0,0,0,0,1,-6,94,2.5,93,989.21,1,1.5,2
0,0,1,0,0,0,1,0,0,0,1,8,87,10,104,998.66,1,0.5,2
0,0,1,0,0,0,1,0,0,0,1,-6,106,33,82,995.73,1,1.5,2
0,0,0,1,0,1,0,1,0,0,0,31,62,6,21,1015.8,1,5.5,0
0,0,0,1,0,1,0,0,1,0,0,32,27,8,18,1010.28,8,5.5,3
1,0,0,0,0,0,1,1,0,0,0,51,85,13.5,77,1025.39,12,5,3
0,0,1,0,1,0,0,1,0,0,0,20,86,14,64,1000.52,1,2,1
0,0,1,0,0,0,1,0,0,0,1,22,58,13.5,20,1003.77,3,7.5,0
0,0,0,1,0,1,0,0,0,1,0,15,74,19,81,1017.45,1,1.5,1
0,0,1,0,0,1,0,1,0,0,0,11,82,14.5,96,1014.44,8,7,0
